RSR;;;;;;;
Dataset;F;O;W;B;A;;FU
haberman,data,txt;3;76,5;50,0;55,0;53,0;1,9;3,0
iris,data,txt;4;37,5;27,0;31,0;29,3;1,5;4,0
thyroid,data,txt;5;53,8;41,0;46,0;44,0;1,9;5,0
bupa,data,txt;6;86,3;25,0;37,0;30,3;4,3;6,0
pima,data,txt;8;192,0;85,0;98,0;91,5;4,9;8,0
wine,data,txt;13;44,5;0,0;2,0;0,8;0,8;13,0
wdbc,data,txt;30;142,3;10,0;15,0;11,8;2,0;30,0
RSMR;;;;;;;
haberman,data,txt;3;76,5;53,0;58,0;55,5;2,1;3,0
iris,data,txt;4;37,5;32,0;38,0;34,8;2,4;4,0
thyroid,data,txt;5;53,8;48,0;50,0;49,3;0,8;5,0
bupa,data,txt;6;86,3;23,0;35,0;28,8;4,3;6,0
pima,data,txt;8;192,0;62,0;69,0;65,5;2,5;8,0
wine,data,txt;13;44,5;15,0;23,0;19,3;3,0;13,0
wdbc,data,txt;30;142,3;10,0;15,0;11,8;2,0;30,0
GFL;;;;;;;
haberman,data,txt;3;76,5;54,0;58,0;55,9;1,2;8,5
iris,data,txt;4;37,5;29,0;39,0;34,3;3,1;8,2
thyroid,data,txt;5;53,8;41,0;45,0;43,4;1,2;8,4
bupa,data,txt;6;86,3;49,0;58,0;53,4;2,7;8,3
pima,data,txt;8;192,0;124,0;140,0;134,1;4,8;7,7
wine,data,txt;13;44,5;35,0;42,0;38,0;1,9;8,3
wdbc,data,txt;30;142,3;107,0;127,0;119,2;5,6;7,9
