iris.data.txt,0,0,39,38
iris.data.txt,0,1,39,39
iris.data.txt,0,2,36,35
iris.data.txt,0,3,36,36
bupa.data.txt,0,0,87,62
bupa.data.txt,0,1,86,60
bupa.data.txt,0,2,86,55
bupa.data.txt,0,3,86,58
pima.data.txt,0,0,192,146
pima.data.txt,0,1,192,152
pima.data.txt,0,2,192,149
pima.data.txt,0,3,192,149
haberman.data.txt,0,0,78,58
haberman.data.txt,0,1,76,61
haberman.data.txt,0,2,76,63
haberman.data.txt,0,3,76,58
wdbc.data.txt,0,0,143,128
wdbc.data.txt,0,1,142,138
wdbc.data.txt,0,2,142,132
wdbc.data.txt,0,3,142,127
thyroid.data.txt,0,0,55,52
thyroid.data.txt,0,1,55,54
thyroid.data.txt,0,2,53,51
thyroid.data.txt,0,3,52,51
wine.data.txt,0,0,45,42
wine.data.txt,0,1,45,43
wine.data.txt,0,2,45,42
wine.data.txt,0,3,43,41
